a	痴，旺盛，得法，温热，粗心，曲折，亲爱的，近，洁净，安全，蔚蓝色，新兴，淡淡，恶毒，乖巧，被动，忧郁，困难，不成话，深厚，美妙，简陋，高明，透湿，广泛，老，过密，异，革命，阴沉沉，疯狂，枣红，精深，挺拔，优良，通红，巨，英勇，平，妥善，便，忠诚，黑暗，既定，贫富，有色，惊奇，清澈，规范，固执，诡秘，分散，斜，牢牢，矮，结实，阴，难，最低，神了，哑，疲，豪爽，专一，好端端，和睦，高，深，贤明，爽利，过大，隆重，辛苦，良，红肿，素净，抽象，清静，苍翠，初级，渐渐，亲切，尊敬，漂亮，穷，过远，亮，孤独，彻底，秀丽，可爱，矬，不够，浓浓，灵，浩瀚，忍心，纳闷，隐隐约约，高于
nd	右面，底上，内外，之中，东部，后边，上面，端，上端，中部，下部，其中，正面，侧，之内，上头，东，一端，一侧，南面，闽西，边，之间，之下，中，中右，北部，一边，内，中间，下边，先头，旁边，底下，后部，正中，末，里，后方，右，外边，外，东边，上，下面，反面，底，以前，表面，东方，南，基中，对下，以北，以东，旁，西北，后，北，面前，西部，南边，西头，里边，前方，之外，前端，以内，东南，右边，当中，内部，西方，一旁，之际，以下，左，西南，前，之上，外面，前面，东面，南方，间，北方，狱中，以来，里面，南部，以西，侧面，书中，南北，东头，以上，后面，西面，桌上，上部
k	制，系，家，论，们，型，器，状，式，机，说，形，法，员，者，儿，感，化，率，界，派，区，律，术，性，物，业，学，么，子，体
u	似的，底，呀，之，着呢，呵，是的，所，了，着，呗，来，矣，嘛，分之，吗，般的，的，而已，兮，夫，似地，不了，也，等，起来，啦，的话，啊，吧，哩，过，罗，不可，么，得，罢了，者，罢，就是，地，呢，乎，也罢，也好，等等
h	非，农，相公，超，兵，老，小，副，准，总，大，第，反，阿
d	将要，然后，就此，活活，必要，莫非，未尝，一个劲，大，仍然，越，大大，整整，可惜，便，日渐，居然，显然，稍稍，一味，转眼，绝对，特别，向来，实，一连，突然间，正当，何等，突然，何以，莫不是，尽量，甚，愈来愈，曾，十足，相，可不，再三，越来越，有意，缓缓，冉冉，过，明确，率先，行将，能否，突，竭力，一，终生，太，大致，随后，毕竟，比较，赶忙，急于，按时，十分，历来，不用，不能不，经常，卒，俾，己，义务，互不，当即，紧紧，断，日臻，愈发，稍微，时而，真的，偷偷，一心，委实，或者，紧，生怕，边，一齐，据此，不见得，俱，特意，依旧，当然，重新，既，真，正，临时，差点儿，只不过
v	回荡，踢开，眼馋，伴有，阻挠，扎成，止血，映红，走私，接纳，活动，得罪，盖，插上，比较研究，漏，调解，挡，挨骂，传承，误伤，洗染，策划，运输，凝望，见效，挟，打，编，富含，惨败，暗示，促进，竭力，测验，烧毁，笼络，盛有，年轻化，耕种，供应，阔步，开到，据，返，出，强奸，寄到，对外开放，回乡，耗费，不准，缔结，看上去，待到，有点，克，改观，附属，叫，拚命，有意识，下台，博，收到，蜂拥，后，毒害，凑集，混，经营，聘任，交融，扭曲，批判，标，验，合并，拉到，独具，有关，借债，察看，均，罩，担任，迷，适用，打断，如下，断续，亮相，推荐，造，恳求，选拔，抢先，想开，克服，上
nhf	欧阳，徐，牛，汪，任，仲，郑，袁，黄，郝，江，韩，余，冯，庄，于，鲁，郭，范，归，邓，梁，申，周，孙，刘，银，祝，倪，李，曹，唐，康，卫，艾，林，贺，于娜，吴，候，蔡，陈，杨，潘，戚，华，杜，张，曾，章，伍，夏，聂，崔，诸葛，隋，项，凌，恩，钱，许，金，文，雷，熊，孟，高，齐，魏，万，梅，方，田，王，司马，翦，史，马，欧，丁，陆，何，秦，常，卓，蒋，令狐，董，胡，罗，耿，孔，赵，廖，戴，车，沈，邵
r	彼，自已，本，那天，咋样，它，那个，咱，两者，这儿，那么，该，这里，我方，别，此项，历次，己，有的，二者，那时候，自我，大伙，后者，这么，某，每个，另外，哪门子，我，各位，怎么样，—切，甚么，怎么回事，之间，因此，某某，别人，咱们，您老，其中，哪，尔，首先，何，你，他俩，每次，吾，自，各地，他，那些，这祥，各，那时，有人，他人，什，怎样，那样，这个，本地，那年，怎么，那边，别的，它们，予，那儿，谁，如此，各式，这下，然，彼此，俺，自个，之类，其，一切，啥子，某些，这些，他们俩，哪里，何时，这时，何种，诸，如许，阿堵，此，几，哪个，另，其他，我国，那末
j	外贸，动植物，川，晋，工商，辽沈，旅，四育，高小，省委，高院，家电，男篮，苏，三废，京津，托派，社委会，宝成，七五，非，葡，瑶，十佳，晋陕，安理会，科协，市委，满映，德，辽，基建，六大，财贸，全国政协，中小学，师大，汉英，劳教，中外，俄，滇，苏修，旦，土特产，财会，八一，京，人大，邮电，人均，沧桑，初中，日，总，湖广，支委，洪，吉长，高考，社教，地铁，师范，大中城市，陕，藏，四化，中专，工商业，市毛针织工业联合公司，九·一八，监委，工矿，清，外资，中日，七·七，一大，青少年，无，中共中央，计委，居委会，民航，中，明，抗日，赵，化工，农副业，双反，匈，团市委，英商，工农业，民革，六，奥，三大，共
nt	翌日，多年，这天，春，王朝，晚上，前，夏天，年头，灾后，大年初一，四月，起始，暂时，同治，第四纪，潜伏期，清明，那时候，听后，今朝，之初，年度，年纪，白昼，十二月，日子，末期，星期，存期，月份，以后，后，长期，好半天，刹那间，平时，元，那时，当时，今，一晚，北魏，晨昏，一刻，清晨，中古，永乐，一时，月底，那一天，战前，产前，大清早，而今，一瞬，秋，后期，公元，一辈子，一月，昨晚，周期，将来，上年，如今，年底，小时候，日期，六月，以来，今后，目前，拂晓，年月，当前，隋，日前，期，光绪，世，崇祯，之后，汉，大前天，中午，朝夕，月度，中旬，明天，年岁，其后，北宋，唐代，点，每年，秦汉，年间，同年，本月
